Year,Jurisdiction,Category,Type,Classification,Total type,Stream,Management,Fate,Tonnes,Core or non-core,Sub-stream,Cat. order,Cat. no.,Type order,Type no.,State
2020-2021,ACT,Biosolids,,Category,,C&I,Other disposal,Disposal,20185.54974214843,Core waste,03 C&I core,03 Organics,C3,,,"ACT, Australia"
2020-2021,ACT,Biosolids,,Category,,C&I,Recycling,Recycling,0.0,Core waste,03 C&I core,03 Organics,C3,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,C&D,Landfill,Disposal,95899.16891174743,Core waste,02 C&D,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,C&D,Recycling,Recycling,271476.83502176055,Core waste,02 C&D,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,C&D,Waste reuse,Waste reuse,133987.09,Core waste,02 C&D,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,C&I,Landfill,Disposal,13812.442221182679,Core waste,03 C&I core,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,C&I,Recycling,Recycling,810.0342232925202,Core waste,03 C&I core,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,MSW,Landfill,Disposal,2955.5596671122516,Core waste,01 MSW,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Building and demolition materials,,Category,,MSW,Recycling,Recycling,0.0,Core waste,01 MSW,01 Building and demolition materials,C1,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,C&D,Landfill,Disposal,44.193165397118634,Core waste,02 C&D,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,C&D,Recycling,Recycling,550.7504233697986,Core waste,02 C&D,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,C&I,Landfill,Disposal,2315.4143426604464,Core waste,03 C&I core,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,C&I,Recycling,Recycling,10298.495727608979,Core waste,03 C&I core,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,MSW,Landfill,Disposal,4811.095081843255,Core waste,01 MSW,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Glass,,Category,,MSW,Recycling,Recycling,7534.1986951106,Core waste,01 MSW,06 Glass,C6,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Energy from waste facility,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Landfill,Disposal,10577.962252290525,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Other disposal,Disposal,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Recycling,Recycling,3.1721301824277757,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Treatment,Disposal,7.468285311896588,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Treatment,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Category,,C&D,Treatment,Recycling,5.676052215152078,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
