Year,Jurisdiction,Category,Type,Classification,Total type,Stream,Management,Fate,Tonnes,Core or non-core,Sub-stream,Cat. order,Cat. no.,Type order,Type no.,State
2020-2021,ACT,Biosolids,,Total,Biosolids total,C&I,Other disposal,Disposal,20185.54974214843,Core waste,03 C&I core,03 Organics,C3,,,"ACT, Australia"
2020-2021,ACT,Biosolids,,Total,Biosolids total,C&I,Recycling,Recycling,0.0,Core waste,03 C&I core,03 Organics,C3,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Energy from waste facility,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Landfill,Disposal,10577.962252290525,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Other disposal,Disposal,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Recycling,Recycling,3.1721301824277757,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Disposal,7.468285311896588,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Recycling,5.676052215152078,Core waste,02 C&D,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Energy from waste facility,Energy recovery,2801.1984153419844,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Landfill,Disposal,10738.784574278876,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Other disposal,Disposal,204.14952929811562,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Recycling,Recycling,6806.449007032132,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Treatment,Disposal,888.9463606335393,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Treatment,Energy recovery,148.87019067821535,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Hazardous wastes,,Total,Hazwaste total,C&I,Treatment,Recycling,1327.291533421109,Core waste,03 C&I core,09 Hazardous wastes,C9,,,"ACT, Australia"
2020-2021,ACT,Mining,,Total,Mining waste total,C&I,Landfill,Disposal,0.0,Non-core waste,08 C&I (mining),15 Mining,C15,,,"ACT, Australia"
2020-2021,ACT,Mining,,Total,Mining waste total,C&I,Other disposal,Disposal,0.0,Non-core waste,08 C&I (mining),15 Mining,C15,,,"ACT, Australia"
2020-2021,ACT,Mining,,Total,Mining waste total,C&I,Recycling,Recycling,0.0,Non-core waste,08 C&I (mining),15 Mining,C15,,,"ACT, Australia"
2020-2021,ACT,Mining,,Total,Mining waste total,C&I,Unknown,Unknown,0.0,Non-core waste,08 C&I (mining),15 Mining,C15,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&D,Energy from waste facility,Energy recovery,0.0,Core waste,02 C&D,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&D,Landfill,Disposal,117782.21321867846,Core waste,02 C&D,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&D,Landfill,Energy recovery,1658.7743411016372,Core waste,02 C&D,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&D,Recycling,Recycling,274938.22757732886,Core waste,02 C&D,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&D,Waste reuse,Waste reuse,133987.09,Core waste,02 C&D,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&I,Energy from waste facility,Energy recovery,0.0,Core waste,03 C&I core,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&I,Landfill,Disposal,78559.062463868,Core waste,03 C&I core,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&I,Landfill,Energy recovery,17600.915148054686,Core waste,03 C&I core,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&I,Recycling,Recycling,73688.01440473917,Core waste,03 C&I core,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,C&I,Waste reuse,Waste reuse,8945.45,Core waste,03 C&I core,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,MSW,Energy from waste facility,Energy recovery,0.0,Core waste,01 MSW,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,MSW,Landfill,Disposal,85837.13410515296,Core waste,01 MSW,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,MSW,Landfill,Energy recovery,31097.861558693105,Core waste,01 MSW,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,MSW,Recycling,Recycling,166532.38952275037,Core waste,01 MSW,11 Total,C11,,,"ACT, Australia"
2020-2021,ACT,Total,,Total,All other waste total,MSW,Waste reuse,Waste reuse,6863.0,Core waste,01 MSW,11 Total,C11,,,"ACT, Australia"
2020-2021,NSW,Ash,,Total,Ash waste total,C&I,Other disposal,Long-term storage,1270634.0068687499,Non-core waste,04 C&I (electricity generation),08 Ash,C8,,,"NSW, Australia"
2020-2021,NSW,Ash,,Total,Ash waste total,C&I,Recycling,Recycling,1918785.2871535337,Non-core waste,04 C&I (electricity generation),08 Ash,C8,,,"NSW, Australia"
2020-2021,NSW,Ash,,Total,Ash waste total,C&I,Waste reuse,Waste reuse,2450000.0,Non-core waste,04 C&I (electricity generation),08 Ash,C8,,,"NSW, Australia"
2020-2021,NSW,Biosolids,,Total,Biosolids total,C&I,Other disposal,Disposal,0.0,Core waste,03 C&I core,03 Organics,C3,,,"NSW, Australia"
2020-2021,NSW,Biosolids,,Total,Biosolids total,C&I,Recycling,Recycling,352084.41689234605,Core waste,03 C&I core,03 Organics,C3,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Energy from waste facility,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Landfill,Disposal,889950.6563428801,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Other disposal,Disposal,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Recycling,Recycling,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Disposal,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Energy recovery,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
2020-2021,NSW,Hazardous wastes,,Total,Hazwaste total,C&D,Treatment,Recycling,0.0,Core waste,02 C&D,09 Hazardous wastes,C9,,,"NSW, Australia"
