Year,Jurisdiction,Tonnes,Recovery,Recycling,Not Recovery,Recovery Rate,Recycling Rate
2006-2007,ACT,123348.02525066704,28863.167031291676,5555.999711730981,94484.85821937537,0.23399780395864578,0.045043280591157545
2006-2007,NSW,12133529.105167205,5317074.543732335,4822281.131809631,6816454.56143487,0.4382133588378666,0.39743434000220157
2006-2007,NT,211021.80865026117,54663.082859065,40979.09344289813,156358.72579119616,0.2590399694169115,0.19419364142980683
2006-2007,Qld,8406112.28555737,1768538.2889911823,1412147.0229106403,6637573.9965661885,0.21038718362467348,0.16799050202277988
2006-2007,SA,1133677.4283908652,594802.9322919308,466043.88916430203,538874.4960989344,0.5246668209105921,0.411090383819145
2006-2007,Tas,518567.2816015831,267458.129337445,236051.29973551168,251109.1522641381,0.5157636025770981,0.4551989840285964
2006-2007,Vic,10781625.735382669,6531394.642427532,6217960.098869504,4250231.092955137,0.6057894053021231,0.5767182289089923
2006-2007,WA,2845501.261205521,1045121.6009089174,889189.4223584023,1800379.6602966036,0.36728910127635744,0.3124895548215957
2008-2009,ACT,132197.33483547968,23279.872382477202,5791.0029274395965,108917.46245300247,0.17609940783941774,0.04380574642179082
2008-2009,NSW,12788913.304250974,4767258.098235254,4268087.9717204245,8021655.20601572,0.3727649085439214,0.33373343537341305
2008-2009,NT,160833.53038543527,63824.50520684977,42313.82031604353,97009.02517858549,0.39683581560322184,0.26309078843596273
2008-2009,Qld,8436562.049775375,1785995.6147197857,1454887.819512052,6650566.435055589,0.21169708753192162,0.17245031932773952
2008-2009,SA,1152151.8422362031,566510.2469555044,440316.4367669801,585641.5952806987,0.4916975577246561,0.38216875643089987
2008-2009,Tas,473074.7446434729,282365.79633578885,235499.9891810113,190708.94830768404,0.5968735374968926,0.4978071474910229
2008-2009,Vic,10026412.702650271,6425055.380383102,6098736.169040667,3601357.322267169,0.6408129777746705,0.6082670193127592
2008-2009,WA,2898689.634231911,932540.2724320741,757014.5641630961,1966149.361799837,0.32171097637335594,0.2611575089734256
2009-2010,ACT,106225.46674068122,20684.459123704546,5875.4963485763,85541.00761697668,0.19472222394842167,0.0553115606723539
2009-2010,NSW,12120537.05634561,5371566.717907994,4866226.732498282,6748970.338437616,0.44317893612608145,0.4014860653349191
2009-2010,NT,156945.29677334602,58675.76616904029,36173.12380148541,98269.53060430574,0.3738612585108392,0.2304823689857056
2009-2010,Qld,8124255.163055235,1763807.3790687467,1419279.9121820934,6360447.783986488,0.21710388751569484,0.17469661940656653
